"Region","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chrom","start","end"
"1",13.3175945353439,2.82531271659133,0.957186504529826,2.95168465416167,0.00316045514440175,0.0114267157465975,"chr1",10210940,10211418
"10",95.3268233172206,1.90273072018166,0.733288518964328,2.59479136925397,0.00946483519281279,0.0261483831452619,"chr1",120099487,120099832
"100",27.6886966982827,3.63717945219906,0.86247763634804,4.21712900012091,2.47432440332607e-05,0.00030949073847428,"chr1",160793445,160794473
"1000",553.698888060688,-4.9192874551947,0.742225614849029,-6.62775220469223,3.40836986567144e-11,3.87451456788827e-09,"chr12",54189631,54189855
"1001",115.241516097272,-2.42516707129787,0.719837392019675,-3.36904847981499,0.000754281607208598,0.00386644351705734,"chr12",54191242,54191466
"1002",10.4894794667956,3.72746926466183,1.06375631523121,3.50406311228495,0.000458216748191307,0.00276288257684774,"chr12",54191667,54192542
"1003",313.023953256338,-2.55201634287793,0.817651278108791,-3.12115496080516,0.00180143213398146,0.00740087450100459,"chr12",54263735,54264620
"1004",33.0834738672854,2.4203778015781,0.842649073764876,2.87234375131284,0.00407439505401546,0.013850076414925,"chr12",54283113,54283910
"1005",950.672466350686,-3.78105395618456,0.757053143956318,-4.99443663416412,5.90077611569479e-07,1.76794571218297e-05,"chr12",54651268,54651430
"1006",13.4164953534222,2.51849007322343,0.964099761247605,2.61227123421787,0.00899428646748888,0.0250995792034979,"chr12",54830681,54830866
"1007",435.44938337072,-2.78739941929755,0.769069180819447,-3.62438060036103,0.000289654794826745,0.00194698396870499,"chr12",54984225,54985372
"1008",19.1184504826845,-2.13424065538552,0.933103879446188,-2.28724872160238,0.0221813096715008,0.0490170165124932,"chr12",54985551,54985902
"1009",28.7322237658979,-2.02312615253807,0.85428394833342,-2.36821276635817,0.0178742534422044,0.0413676584156407,"chr12",54986196,54986659
"101",18.4329463582826,2.65438634175333,0.922561820264263,2.87719075670506,0.00401232965051061,0.0136766203204335,"chr1",160863069,160863306
"1010",652.81275528333,-4.94357971015544,0.718479624748478,-6.88061225380756,5.95958624680763e-12,9.21352033756459e-10,"chr12",55016346,55017159
"1011",870.14616045978,-5.02055885302816,0.693833182797809,-7.23597397400812,4.62199961199883e-13,1.48866904169796e-10,"chr12",55019213,55019872
"1012",66.5466287533703,-2.09581372605524,0.750078656587727,-2.79412526626149,0.0052040315811528,0.0166227950918641,"chr12",55123946,55125229
"1013",111.891336494563,-2.84757022552878,0.752023825253932,-3.78654256674282,0.000152757937800103,0.00121555137430715,"chr12",55299348,55299611
"1014",64.0786046735167,-2.42073108995231,0.759022517378555,-3.18927440823866,0.00142630414752564,0.0062314058487831,"chr12",55315322,55315518
"1015",950.692586960739,-3.09665584440031,0.844815826179426,-3.66548039044741,0.000246874728723578,0.00171613458006588,"chr12",55329023,55329615
"1016",39.429679647507,2.32248131257275,0.856894037791027,2.71034831629805,0.00672125832344738,0.0202633880032169,"chr12",55360995,55361245
"1017",12.3589087012844,2.81073262717157,0.971698679461108,2.89259694037082,0.00382071256219609,0.0132493299205555,"chr12",55398228,55399324
"1018",71.8436375445469,-2.45766759918731,0.754231326361075,-3.25850639358189,0.0011200035257095,0.00517182034273261,"chr12",55399495,55399723
"1019",16.0942154625486,-2.1288674773864,0.91051506371892,-2.33809144100398,0.0193825051255441,0.0439632525294765,"chr12",55443140,55443488
"102",18.8078878335334,2.43088328160382,0.856759802946344,2.83729847413962,0.0045497058201547,0.0151200455674101,"chr1",160933999,160934424
"1020",182.028042549583,-2.82294782292055,0.73098419162313,-3.86184524271622,0.000112533845314723,0.000958024916611023,"chr12",55446547,55447309
"1021",24.1573967001483,-2.85136412704894,0.896908638631434,-3.17910208937195,0.00147732049507377,0.00640117008235438,"chr12",55466835,55467148
"1022",308.368599528834,-3.76985476750172,0.75036573609486,-5.02402306789918,5.06001554997223e-07,1.62902473918275e-05,"chr12",55491078,55492073
"1023",26.1937735972112,2.85870000698578,0.877891601681416,3.2563245866694,0.00112864645347663,0.00519930696387031,"chr12",55492258,55492969
"1024",26.8320964470261,2.20799595035792,0.841693644038535,2.62327744304177,0.00870883221637584,0.0244441804766105,"chr12",55495104,55495352
"1025",24.8004114516695,2.0886630542381,0.796825893324338,2.62122889295709,0.00876134157338381,0.0245737192896433,"chr12",55820084,55820401
"1026",410.423742579951,-3.42150172183917,0.702348938161682,-4.87151262845867,1.10747082909295e-06,2.97248246836407e-05,"chr12",55820786,55821477
"1027",42.9891299813653,-3.80037296962617,0.868762457591695,-4.37446730854511,1.21729363070782e-05,0.000183842240579241,"chr12",55831205,55831371
"1028",35.0603213046073,2.67986926078147,0.795303322695878,3.36961909287312,0.000752721561643327,0.00386644351705734,"chr12",56301748,56302231
"1029",97.9277520227107,-5.77749919015971,0.928324398527102,-6.22357787786942,4.85943430830474e-10,4.26857127309041e-08,"chr12",57194492,57195220
"103",34.1892553072338,2.16562359840355,0.786184418454391,2.75459999914662,0.00587639293285016,0.0182427780606151,"chr1",161035604,161036167
